event_id,event_type,city,venue_type,music_genre,target_audience,day_of_week,start_time,ticket_price,capacity,tickets_sold,occupancy_rate,sales_start_days_before,promotion_strategy,main_sales_channel,drinks_included,weather,competing_events,result,business_notes
37,Pool party,Málaga,Terraza,Pop,Jóvenes 25-35,Domingo,18:00,17,1500,852,0.57,21,Campaña Instagram,Web ticketing,1,Nublado,1,Resultado medio,Instagram generó visibilidad pero pocas ventas directas
38,Pool party,Sevilla,Beach club,Indie,Universitarios,Domingo,22:00,17,500,354,0.71,14,Preventa por tramos,RRPP,1,Frío,0,Buen resultado,Promoción por grupos funcionó muy bien
39,Evento indie,Granada,Recinto exterior,Pop,Jóvenes 25-35,Sábado,16:00,18,300,253,0.84,10,Promoción grupos,Web ticketing,2,Soleado,2,Buen resultado,Buena respuesta de comunidad universitaria
40,Concierto pop,Sevilla,Discoteca,Indie,Erasmus,Viernes,00:00,30,1500,1355,0.9,14,RRPP universitarios,Web ticketing,0,Soleado,2,Sold out o casi sold out,Precio demasiado alto para el público objetivo
41,Noche comercial,Valencia,Discoteca,Latino,Erasmus,Sábado,18:00,17,1200,622,0.52,45,Promoción grupos,Wegow,2,Soleado,1,Resultado medio,Evento con alta ocupación y buen margen
42,Fiesta reggaeton,Valencia,Terraza,Latino,Público general,Jueves,22:00,12,1000,743,0.74,30,Preventa por tramos,WhatsApp,2,Calor,1,Buen resultado,Buena respuesta de comunidad universitaria
43,Pool party,Málaga,Recinto exterior,Pop,Jóvenes 25-35,Viernes,20:00,23,3000,2197,0.73,21,Sorteo de entradas,Instagram,1,Calor,2,Buen resultado,Evento con alta ocupación y buen margen
44,Evento indie,Sevilla,Discoteca,Pop,Jóvenes 25-35,Viernes,22:00,15,1000,875,0.88,21,Colaboración con influencers locales,Wegow,1,Calor,2,Buen resultado,Precio demasiado alto para el público objetivo
45,Concierto pop,Granada,Terraza,Pop,Jóvenes 18-25,Sábado,22:00,27,1200,1078,0.9,30,Preventa por tramos,Wegow,0,Nublado,0,Sold out o casi sold out,WhatsApp fue el canal más efectivo
46,Pool party,Málaga,Discoteca,Pop,Erasmus,Domingo,20:00,23,2000,1225,0.61,14,Campaña Instagram,WhatsApp,1,Calor,1,Resultado medio,La competencia afectó a las ventas
47,Evento indie,Valencia,Recinto exterior,Pop,Jóvenes 18-25,Sábado,20:00,23,2000,891,0.45,10,Campaña Instagram,RRPP,0,Nublado,1,Resultado flojo,WhatsApp fue el canal más efectivo
48,Noche comercial,Madrid,Beach club,Pop,Universitarios,Viernes,16:00,20,300,129,0.43,30,Comunidad WhatsApp,Instagram,1,Lluvia,0,Resultado flojo,Buena respuesta de comunidad universitaria
49,Afterwork,Granada,Sala de conciertos,Comercial,Jóvenes 25-35,Jueves,22:00,10,1500,1354,0.9,10,Preventa por tramos,Wegow,1,Lluvia,1,Sold out o casi sold out,Faltó campaña de urgencia en últimos días
50,Fiesta reggaeton,Málaga,Recinto exterior,Urbano,Universitarios,Jueves,00:00,12,600,559,0.93,30,RRPP universitarios,Instagram,0,Calor,1,Sold out o casi sold out,Evento con alta ocupación y buen margen
51,Noche comercial,Sevilla,Beach club,Urbano,Jóvenes 25-35,Domingo,18:00,12,3000,2700,0.9,30,Comunidad WhatsApp,Wegow,2,Frío,1,Sold out o casi sold out,Ventas lentas al inicio y aceleración final
52,Concierto pop,Granada,Discoteca,Techno,Erasmus,Viernes,20:00,27,3000,1308,0.44,14,Promoción grupos,Instagram,1,Soleado,1,Resultado flojo,Faltó campaña de urgencia en últimos días
53,Pool party,Málaga,Sala de conciertos,Pop,Público general,Viernes,20:00,20,500,267,0.53,10,Sorteo de entradas,RRPP,2,Calor,0,Resultado medio,Precio demasiado alto para el público objetivo
54,Noche comercial,Valencia,Beach club,Pop,Jóvenes 25-35,Jueves,00:00,18,800,397,0.5,30,Colaboración con influencers locales,Fourvenues,1,Lluvia,2,Resultado medio,Ventas lentas al inicio y aceleración final
55,Tardeo universitario,Córdoba,Terraza,Indie,Jóvenes 18-25,Jueves,22:00,15,800,721,0.9,7,Promoción grupos,Instagram,0,Calor,2,Sold out o casi sold out,Precio demasiado alto para el público objetivo
56,Afterwork,Valencia,Recinto exterior,Pop,Erasmus,Domingo,20:00,10,1000,402,0.4,45,Colaboración con influencers locales,RRPP,1,Frío,1,Resultado flojo,Precio demasiado alto para el público objetivo
57,Fiesta Erasmus,Valencia,Recinto exterior,Pop,Jóvenes 25-35,Jueves,00:00,14,400,224,0.56,30,Colaboración con influencers locales,RRPP,1,Lluvia,1,Resultado medio,Buena respuesta de comunidad universitaria
58,Pool party,Córdoba,Discoteca,Techno,Público general,Sábado,22:00,23,800,731,0.91,10,Colaboración con influencers locales,Fourvenues,0,Frío,0,Sold out o casi sold out,WhatsApp fue el canal más efectivo
59,Fiesta reggaeton,Málaga,Beach club,Latino,Erasmus,Viernes,18:00,13,400,352,0.88,7,Comunidad WhatsApp,Wegow,1,Soleado,2,Buen resultado,Ventas lentas al inicio y aceleración final
60,Pool party,Valencia,Terraza,Indie,Jóvenes 18-25,Domingo,18:00,22,500,405,0.81,10,Colaboración con influencers locales,Web ticketing,2,Nublado,1,Buen resultado,La competencia afectó a las ventas
61,Fiesta reggaeton,Granada,Recinto exterior,Pop,Público general,Sábado,20:00,13,1500,883,0.59,21,Preventa por tramos,WhatsApp,2,Lluvia,2,Resultado medio,Alta conversión por RRPP
62,Afterwork,Madrid,Recinto exterior,Urbano,Jóvenes 18-25,Viernes,22:00,10,300,220,0.73,45,Campaña Instagram,Wegow,1,Frío,0,Buen resultado,Instagram generó visibilidad pero pocas ventas directas
63,Fiesta techno,Córdoba,Discoteca,Techno,Público general,Sábado,16:00,23,300,217,0.72,10,Promoción grupos,Web ticketing,1,Soleado,2,Buen resultado,Precio demasiado alto para el público objetivo
64,Pool party,Granada,Terraza,Indie,Jóvenes 25-35,Jueves,20:00,23,1500,988,0.66,7,Descuento early bird,Fourvenues,1,Calor,1,Resultado medio,Promoción por grupos funcionó muy bien
65,Concierto pop,Valencia,Discoteca,Urbano,Universitarios,Jueves,18:00,22,1000,629,0.63,14,Colaboración con influencers locales,Instagram,0,Lluvia,0,Resultado medio,Instagram generó visibilidad pero pocas ventas directas
66,Concierto pop,Madrid,Recinto exterior,Indie,Erasmus,Viernes,20:00,27,600,324,0.54,30,RRPP universitarios,RRPP,2,Calor,1,Resultado medio,WhatsApp fue el canal más efectivo
67,Pool party,Granada,Discoteca,Latino,Jóvenes 25-35,Sábado,20:00,25,800,612,0.77,21,RRPP universitarios,RRPP,2,Frío,1,Buen resultado,WhatsApp fue el canal más efectivo
68,Concierto pop,Córdoba,Recinto exterior,Reggaeton,Erasmus,Domingo,16:00,30,300,116,0.39,21,Descuento early bird,Wegow,1,Lluvia,2,Resultado flojo,Evento con alta ocupación y buen margen
69,Noche comercial,Valencia,Recinto exterior,Latino,Jóvenes 18-25,Viernes,20:00,20,500,450,0.9,7,Descuento early bird,Instagram,1,Nublado,2,Sold out o casi sold out,Buena respuesta de comunidad universitaria
70,Pool party,Málaga,Beach club,Pop,Erasmus,Jueves,18:00,23,500,417,0.83,14,Comunidad WhatsApp,WhatsApp,0,Frío,0,Buen resultado,Faltó campaña de urgencia en últimos días
71,Festival urbano,Córdoba,Terraza,Comercial,Jóvenes 18-25,Jueves,16:00,33,1200,594,0.49,14,Colaboración con influencers locales,RRPP,2,Nublado,0,Resultado flojo,Instagram generó visibilidad pero pocas ventas directas
72,Festival urbano,Madrid,Discoteca,Urbano,Jóvenes 18-25,Sábado,20:00,32,600,485,0.81,7,Sorteo de entradas,Fourvenues,2,Lluvia,0,Buen resultado,La competencia afectó a las ventas
73,Noche comercial,Sevilla,Discoteca,Comercial,Jóvenes 25-35,Sábado,18:00,17,800,398,0.5,7,Sorteo de entradas,RRPP,0,Nublado,0,Resultado medio,La competencia afectó a las ventas
74,Fiesta Erasmus,Córdoba,Terraza,Comercial,Público general,Domingo,22:00,12,1200,918,0.77,7,RRPP universitarios,Web ticketing,2,Soleado,1,Buen resultado,Promoción por grupos funcionó muy bien
75,Pool party,Sevilla,Terraza,Reggaeton,Jóvenes 18-25,Sábado,16:00,17,1500,639,0.43,45,Preventa por tramos,Web ticketing,0,Lluvia,0,Resultado flojo,Evento con alta ocupación y buen margen
76,Tardeo universitario,Granada,Sala de conciertos,Techno,Público general,Viernes,16:00,12,600,548,0.91,10,Promoción grupos,Wegow,0,Nublado,2,Sold out o casi sold out,Evento con alta ocupación y buen margen
77,Festival urbano,Sevilla,Sala de conciertos,Indie,Jóvenes 18-25,Viernes,20:00,28,1000,681,0.68,30,Promoción grupos,Fourvenues,0,Soleado,0,Resultado medio,Precio demasiado alto para el público objetivo
78,Tardeo universitario,Sevilla,Recinto exterior,Indie,Universitarios,Jueves,16:00,14,400,176,0.44,30,Colaboración con influencers locales,Web ticketing,2,Lluvia,2,Resultado flojo,Evento con alta ocupación y buen margen
79,Afterwork,Granada,Recinto exterior,Comercial,Universitarios,Jueves,20:00,15,1500,730,0.49,21,Colaboración con influencers locales,Web ticketing,0,Frío,2,Resultado flojo,Ventas lentas al inicio y aceleración final
80,Noche comercial,Sevilla,Discoteca,Techno,Jóvenes 18-25,Sábado,00:00,18,2000,799,0.4,21,Sorteo de entradas,Wegow,1,Calor,1,Resultado flojo,Ventas lentas al inicio y aceleración final
81,Concierto pop,Córdoba,Recinto exterior,Techno,Jóvenes 25-35,Sábado,18:00,27,1000,782,0.78,14,Colaboración con influencers locales,Web ticketing,0,Frío,2,Buen resultado,Alta conversión por RRPP
82,Pool party,Málaga,Discoteca,Latino,Universitarios,Jueves,22:00,23,300,234,0.78,30,Sorteo de entradas,RRPP,2,Lluvia,0,Buen resultado,Ventas lentas al inicio y aceleración final
83,Evento indie,Valencia,Recinto exterior,Latino,Universitarios,Sábado,20:00,16,600,456,0.76,45,Comunidad WhatsApp,WhatsApp,2,Soleado,2,Buen resultado,Ventas lentas al inicio y aceleración final
84,Afterwork,Granada,Discoteca,Latino,Jóvenes 18-25,Viernes,16:00,7,2000,1829,0.91,30,Sorteo de entradas,Wegow,2,Calor,2,Sold out o casi sold out,Faltó campaña de urgencia en últimos días
85,Fiesta techno,Granada,Terraza,Pop,Jóvenes 18-25,Jueves,16:00,16,400,334,0.83,45,RRPP universitarios,Instagram,1,Calor,2,Buen resultado,Buena respuesta de comunidad universitaria
86,Afterwork,Sevilla,Recinto exterior,Urbano,Jóvenes 25-35,Sábado,18:00,13,3000,2285,0.76,7,RRPP universitarios,WhatsApp,1,Lluvia,2,Buen resultado,Precio demasiado alto para el público objetivo
87,Noche comercial,Málaga,Discoteca,Pop,Jóvenes 25-35,Domingo,20:00,18,600,343,0.57,7,Colaboración con influencers locales,Wegow,1,Frío,1,Resultado medio,Ventas lentas al inicio y aceleración final
88,Noche comercial,Córdoba,Beach club,Comercial,Jóvenes 18-25,Jueves,20:00,15,600,500,0.83,10,Campaña Instagram,Web ticketing,0,Calor,0,Buen resultado,Faltó campaña de urgencia en últimos días
89,Evento indie,Málaga,Discoteca,Urbano,Jóvenes 25-35,Viernes,22:00,21,2000,1946,0.97,45,RRPP universitarios,Web ticketing,0,Calor,2,Sold out o casi sold out,Ventas lentas al inicio y aceleración final
90,Tardeo universitario,Córdoba,Discoteca,Urbano,Universitarios,Sábado,18:00,12,1200,879,0.73,7,Sorteo de entradas,Wegow,2,Frío,2,Buen resultado,Alta conversión por RRPP
91,Noche comercial,Córdoba,Terraza,Reggaeton,Jóvenes 25-35,Jueves,20:00,17,400,289,0.72,14,Campaña Instagram,Web ticketing,2,Calor,1,Buen resultado,Promoción por grupos funcionó muy bien
92,Fiesta techno,Málaga,Beach club,Comercial,Universitarios,Viernes,16:00,18,500,293,0.59,10,Descuento early bird,WhatsApp,0,Nublado,0,Resultado medio,Precio demasiado alto para el público objetivo
93,Fiesta techno,Valencia,Recinto exterior,Urbano,Público general,Domingo,00:00,20,400,226,0.56,21,Descuento early bird,Fourvenues,1,Lluvia,0,Resultado medio,Faltó campaña de urgencia en últimos días
94,Tardeo universitario,Granada,Beach club,Reggaeton,Jóvenes 18-25,Domingo,22:00,17,400,263,0.66,7,Colaboración con influencers locales,RRPP,1,Soleado,1,Resultado medio,La competencia afectó a las ventas
95,Pool party,Madrid,Beach club,Latino,Universitarios,Domingo,16:00,17,500,225,0.45,21,Campaña Instagram,WhatsApp,2,Calor,1,Resultado flojo,Alta conversión por RRPP
96,Afterwork,Valencia,Sala de conciertos,Reggaeton,Erasmus,Domingo,00:00,10,1000,643,0.64,14,Colaboración con influencers locales,Wegow,0,Calor,2,Resultado medio,Alta conversión por RRPP
97,Tardeo universitario,Valencia,Terraza,Reggaeton,Jóvenes 18-25,Jueves,20:00,10,3000,872,0.29,14,Sorteo de entradas,WhatsApp,2,Lluvia,2,Resultado flojo,Precio demasiado alto para el público objetivo
98,Festival urbano,Valencia,Recinto exterior,Techno,Público general,Jueves,16:00,35,500,467,0.93,45,Comunidad WhatsApp,Wegow,1,Frío,2,Sold out o casi sold out,La competencia afectó a las ventas
99,Fiesta Erasmus,Madrid,Terraza,Reggaeton,Jóvenes 18-25,Sábado,00:00,10,600,185,0.31,10,RRPP universitarios,Instagram,0,Lluvia,1,Resultado flojo,Ventas lentas al inicio y aceleración final
100,Afterwork,Valencia,Beach club,Reggaeton,Jóvenes 18-25,Viernes,20:00,8,3000,2006,0.67,45,Sorteo de entradas,Instagram,2,Nublado,0,Resultado medio,Instagram generó visibilidad pero pocas ventas directas
101,Concierto pop,Córdoba,Beach club,Pop,Jóvenes 25-35,Viernes,00:00,27,3000,2504,0.83,21,Campaña Instagram,WhatsApp,1,Frío,0,Buen resultado,Instagram generó visibilidad pero pocas ventas directas
102,Afterwork,Córdoba,Sala de conciertos,Latino,Erasmus,Viernes,16:00,15,400,338,0.84,30,Comunidad WhatsApp,RRPP,2,Frío,1,Buen resultado,Faltó campaña de urgencia en últimos días
103,Fiesta techno,Granada,Recinto exterior,Indie,Erasmus,Domingo,22:00,15,1200,805,0.67,21,Promoción grupos,Instagram,0,Frío,1,Resultado medio,Promoción por grupos funcionó muy bien
104,Fiesta reggaeton,Granada,Sala de conciertos,Reggaeton,Jóvenes 18-25,Jueves,22:00,20,1500,1244,0.83,10,Descuento early bird,Instagram,1,Nublado,0,Buen resultado,WhatsApp fue el canal más efectivo
105,Noche comercial,Málaga,Discoteca,Reggaeton,Jóvenes 18-25,Viernes,18:00,15,400,288,0.72,10,RRPP universitarios,Wegow,1,Calor,2,Buen resultado,Buena respuesta de comunidad universitaria
106,Fiesta Erasmus,Valencia,Beach club,Urbano,Universitarios,Jueves,22:00,15,2000,1778,0.89,10,Colaboración con influencers locales,Wegow,2,Calor,0,Buen resultado,Faltó campaña de urgencia en últimos días
107,Tardeo universitario,Madrid,Terraza,Techno,Público general,Domingo,00:00,15,400,329,0.82,30,RRPP universitarios,Fourvenues,1,Soleado,2,Buen resultado,La competencia afectó a las ventas
108,Tardeo universitario,Córdoba,Recinto exterior,Reggaeton,Jóvenes 25-35,Sábado,00:00,10,1000,748,0.75,45,Comunidad WhatsApp,Fourvenues,0,Soleado,1,Buen resultado,Ventas lentas al inicio y aceleración final
109,Evento indie,Sevilla,Discoteca,Pop,Público general,Sábado,16:00,16,500,439,0.88,7,RRPP universitarios,Fourvenues,1,Frío,2,Buen resultado,WhatsApp fue el canal más efectivo
110,Festival urbano,Sevilla,Discoteca,Latino,Erasmus,Jueves,20:00,30,1500,1089,0.73,7,Descuento early bird,WhatsApp,2,Calor,1,Buen resultado,Promoción por grupos funcionó muy bien
111,Evento indie,Málaga,Terraza,Pop,Universitarios,Sábado,20:00,20,500,324,0.65,45,Sorteo de entradas,Web ticketing,1,Frío,1,Resultado medio,La competencia afectó a las ventas
112,Fiesta reggaeton,Valencia,Recinto exterior,Reggaeton,Jóvenes 25-35,Viernes,18:00,15,800,657,0.82,21,Comunidad WhatsApp,WhatsApp,1,Soleado,0,Buen resultado,Instagram generó visibilidad pero pocas ventas directas
113,Pool party,Granada,Recinto exterior,Reggaeton,Jóvenes 18-25,Domingo,16:00,20,1200,1104,0.92,30,Comunidad WhatsApp,Fourvenues,2,Soleado,0,Sold out o casi sold out,Precio demasiado alto para el público objetivo
114,Fiesta techno,Madrid,Recinto exterior,Reggaeton,Erasmus,Jueves,20:00,15,3000,830,0.28,30,Campaña Instagram,Fourvenues,1,Lluvia,1,Resultado flojo,WhatsApp fue el canal más efectivo
115,Evento indie,Córdoba,Discoteca,Indie,Erasmus,Sábado,00:00,23,300,209,0.7,10,Sorteo de entradas,WhatsApp,0,Lluvia,0,Buen resultado,Instagram generó visibilidad pero pocas ventas directas
116,Fiesta reggaeton,Granada,Terraza,Comercial,Jóvenes 25-35,Viernes,16:00,12,500,303,0.61,21,Comunidad WhatsApp,Fourvenues,0,Frío,0,Resultado medio,WhatsApp fue el canal más efectivo
117,Evento indie,Valencia,Terraza,Comercial,Universitarios,Sábado,22:00,15,600,489,0.81,10,Comunidad WhatsApp,Instagram,2,Nublado,1,Buen resultado,Promoción por grupos funcionó muy bien
118,Tardeo universitario,Granada,Beach club,Indie,Jóvenes 18-25,Domingo,22:00,17,1200,911,0.76,45,RRPP universitarios,Wegow,1,Soleado,0,Buen resultado,Instagram generó visibilidad pero pocas ventas directas
119,Noche comercial,Málaga,Sala de conciertos,Pop,Universitarios,Domingo,22:00,20,2000,981,0.49,30,Colaboración con influencers locales,Fourvenues,0,Calor,1,Resultado flojo,Precio demasiado alto para el público objetivo
120,Afterwork,Málaga,Discoteca,Indie,Erasmus,Sábado,18:00,13,1000,992,0.99,14,RRPP universitarios,Instagram,0,Lluvia,2,Sold out o casi sold out,Faltó campaña de urgencia en últimos días
121,Afterwork,Granada,Sala de conciertos,Comercial,Jóvenes 18-25,Jueves,16:00,15,3000,2066,0.69,30,RRPP universitarios,Wegow,0,Calor,0,Resultado medio,Evento con alta ocupación y buen margen
122,Tardeo universitario,Málaga,Discoteca,Comercial,Público general,Sábado,22:00,14,300,231,0.77,45,Campaña Instagram,Wegow,2,Frío,2,Buen resultado,Faltó campaña de urgencia en últimos días
123,Concierto pop,Valencia,Recinto exterior,Pop,Jóvenes 25-35,Jueves,20:00,23,1500,1084,0.72,14,Preventa por tramos,Instagram,1,Frío,1,Buen resultado,Alta conversión por RRPP
124,Evento indie,Córdoba,Sala de conciertos,Latino,Jóvenes 18-25,Jueves,22:00,16,1500,747,0.5,10,Descuento early bird,Instagram,1,Frío,0,Resultado medio,Faltó campaña de urgencia en últimos días
125,Noche comercial,Córdoba,Sala de conciertos,Latino,Erasmus,Sábado,22:00,17,1500,898,0.6,14,Descuento early bird,Instagram,2,Nublado,1,Resultado medio,Ventas lentas al inicio y aceleración final
126,Afterwork,Córdoba,Sala de conciertos,Techno,Público general,Sábado,22:00,10,1500,636,0.42,30,Preventa por tramos,RRPP,2,Lluvia,1,Resultado flojo,Ventas lentas al inicio y aceleración final
127,Fiesta techno,Granada,Terraza,Latino,Jóvenes 25-35,Sábado,00:00,18,600,398,0.66,30,Preventa por tramos,Web ticketing,2,Soleado,2,Resultado medio,Instagram generó visibilidad pero pocas ventas directas
128,Pool party,Madrid,Terraza,Latino,Público general,Jueves,22:00,20,2000,1139,0.57,10,RRPP universitarios,RRPP,1,Frío,1,Resultado medio,La competencia afectó a las ventas
129,Afterwork,Málaga,Discoteca,Reggaeton,Erasmus,Sábado,18:00,8,2000,1931,0.97,14,Colaboración con influencers locales,Wegow,2,Frío,0,Sold out o casi sold out,Alta conversión por RRPP
130,Fiesta Erasmus,Madrid,Terraza,Indie,Jóvenes 18-25,Domingo,00:00,14,400,249,0.62,30,Comunidad WhatsApp,Web ticketing,1,Soleado,1,Resultado medio,Buena respuesta de comunidad universitaria
131,Pool party,Granada,Beach club,Indie,Erasmus,Jueves,16:00,22,3000,2582,0.86,10,Colaboración con influencers locales,Instagram,2,Calor,2,Buen resultado,Promoción por grupos funcionó muy bien
